,card_materials,card_patterns,card_bitpoints,card_drift,card_mana,card_ingot,dragon_allhorns,dragon_wings,dragon_eye_colors,dragon_gatget,dragon_skin_texture
0,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
1,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
2,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
3,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
4,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
5,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
6,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
7,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
8,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
9,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
10,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
11,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
12,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
13,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
14,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
15,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
16,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
17,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
18,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
19,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
20,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
21,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
