,gadget Name,gadget Material,gadget Tickets,gadget: Total Tickets,gadget Odds (% chance),card_material Name,card_material Material,card_material Tickets,card_material: Total Tickets,card_material Odds (% chance),card_shield Name,card_shield Material,card_shield Tickets,card_shield: Total Tickets,card_shield Odds (% chance),card_bit Name,card_bit Material,card_bit Tickets,card_bit: Total Tickets,card_bit Odds (% chance),card_drift Name,card_drift Material,card_drift Tickets,card_drift: Total Tickets,card_drift Odds (% chance),card_mana Name,card_mana Material,card_mana Tickets,card_mana: Total Tickets,card_mana Odds (% chance),card_ingot Name,card_ingot Material,card_ingot Tickets,card_ingot: Total Tickets,card_ingot Odds (% chance),dragon_style Name,dragon_style Material,dragon_style Tickets,dragon_style: Total Tickets,dragon_style Odds (% chance),dragon_body Name,dragon_body Material,dragon_body Tickets,dragon_body: Total Tickets,dragon_body Odds (% chance),dragon_wings Name,dragon_wings Material,dragon_wings Tickets,dragon_wings: Total Tickets,dragon_wings Odds (% chance),dragon_eyes Name,dragon_eyes Material,dragon_eyes Tickets,dragon_eyes: Total Tickets,dragon_eyes Odds (% chance),dragon_all_horns Name,dragon_all_horns Material,dragon_all_horns Tickets,dragon_all_horns: Total Tickets,dragon_all_horns Odds (% chance),music Name,music Material,music Tickets,music: Total Tickets,music Odds (% chance)
Variant 1,platinum_token Variant 1,Moneda platino,50,100,50,platinum Variant 1,Platinium Card,50,100,50,amethyst Variant 1,Front Card Purple,25,100,25,720 Variant 1,Bit,30,100,30,48 Variant 1,drift,80,100,80,6 Variant 1,Mana,15,100,15,4 Variant 1,ingot,60,100,60,wild Variant 1,No Material,900,1000,90,earthy_orange Variant 1,Cuerpo amarillo,14,100,14,magic_purple Variant 1,Material.004,17,100,17,hornet_brown Variant 1,Ojos sauron,40,100,40,golden Variant 1,Puas oro,25,100,25,none Variant 1,No Material,99,100,99
Variant 2,platinum_token Variant 2,Moneda platino,50,100,50,platinum Variant 2,Platinium Card,50,100,50,prism Variant 2,Front Card Rainbow,10,100,10,864 Variant 2,Bit,20,100,20,48 Variant 2,drift,80,100,80,9 Variant 2,Mana,5,100,5,4 Variant 2,ingot,60,100,60,wild Variant 2,No Material,900,1000,90,exotic_turquoise Variant 2,Cuerpo turquesa,14,100,14,floyd_pink Variant 2,Alas rosadas,17,100,17,hornet_brown Variant 2,Ojos sauron,40,100,40,bone Variant 2,Huesos blancos,70,100,70,none Variant 2,No Material,99,100,99
Variant 3,titanium_token Variant 3,Material.016,15,100,15,platinum Variant 3,Platinium Card,50,100,50,amethyst Variant 3,Front Card Purple,25,100,25,576 Variant 3,Bit,50,100,50,48 Variant 3,drift,80,100,80,3 Variant 3,Mana,80,100,80,5 Variant 3,ingot,33,100,33,wild Variant 3,No Material,900,1000,90,firing_red Variant 3,Cuerpo rojo,16,100,16,magic_purple Variant 3,Material.004,17,100,17,hornet_brown Variant 3,Ojos sauron,40,100,40,bone Variant 3,Huesos blancos,70,100,70,none Variant 3,No Material,99,100,99
Variant 4,platinum_token Variant 4,Moneda platino,50,100,50,gold Variant 4,Middle Card Black,30,100,30,sapphire Variant 4,Front Card NAVY,20,100,20,864 Variant 4,Bit,20,100,20,48 Variant 4,drift,80,100,80,3 Variant 4,Mana,80,100,80,4 Variant 4,ingot,60,100,60,wild Variant 4,No Material,900,1000,90,chocolate_brown Variant 4,Cuerpo marrón,14,100,14,ocean_blue Variant 4,Material.001,17,100,17,firefly_lilac Variant 4,Ojos rosados,20,100,20,bone Variant 4,Huesos blancos,70,100,70,none Variant 4,No Material,99,100,99
Variant 5,platinum_token Variant 5,Moneda platino,50,100,50,platinum Variant 5,Platinium Card,50,100,50,amethyst Variant 5,Front Card Purple,25,100,25,864 Variant 5,Bit,20,100,20,48 Variant 5,drift,80,100,80,3 Variant 5,Mana,80,100,80,5 Variant 5,ingot,33,100,33,wild Variant 5,No Material,900,1000,90,firing_red Variant 5,Cuerpo rojo,16,100,16,magic_purple Variant 5,Material.004,17,100,17,wasp_yellow Variant 5,Ojos verde claro,25,100,25,bone Variant 5,Huesos blancos,70,100,70,none Variant 5,No Material,99,100,99
Variant 6,platinum_token Variant 6,Moneda platino,50,100,50,platinum Variant 6,Platinium Card,50,100,50,emerald Variant 6,Front Card Colorful,30,100,30,720 Variant 6,Bit,30,100,30,48 Variant 6,drift,80,100,80,3 Variant 6,Mana,80,100,80,5 Variant 6,ingot,33,100,33,wild Variant 6,No Material,900,1000,90,exotic_turquoise Variant 6,Cuerpo turquesa,14,100,14,lemon_green Variant 6,Alas verdes,10,100,10,hornet_brown Variant 6,Ojos sauron,40,100,40,bone Variant 6,Huesos blancos,70,100,70,none Variant 6,No Material,99,100,99
Variant 7,gold_token Variant 7,Moneda oro,35,100,35,gold Variant 7,Middle Card Black,30,100,30,sapphire Variant 7,Front Card NAVY,20,100,20,576 Variant 7,Bit,50,100,50,48 Variant 7,drift,80,100,80,3 Variant 7,Mana,80,100,80,4 Variant 7,ingot,60,100,60,wild Variant 7,No Material,900,1000,90,firing_red Variant 7,Cuerpo rojo,16,100,16,grosbeak_green Variant 7,Material.003,5,100,5,firefly_lilac Variant 7,Ojos rosados,20,100,20,bone Variant 7,Huesos blancos,70,100,70,none Variant 7,No Material,99,100,99
Variant 8,gold_token Variant 8,Moneda oro,35,100,35,titanium Variant 8,Titanium Card,20,100,20,sapphire Variant 8,Front Card NAVY,20,100,20,576 Variant 8,Bit,50,100,50,48 Variant 8,drift,80,100,80,9 Variant 8,Mana,5,100,5,5 Variant 8,ingot,33,100,33,wild Variant 8,No Material,900,1000,90,exotic_turquoise Variant 8,Cuerpo turquesa,14,100,14,grosbeak_green Variant 8,Material.003,5,100,5,hornet_brown Variant 8,Ojos sauron,40,100,40,bone Variant 8,Huesos blancos,70,100,70,none Variant 8,No Material,99,100,99
Variant 9,gold_token Variant 9,Moneda oro,35,100,35,gold Variant 9,Middle Card Black,30,100,30,amethyst Variant 9,Front Card Purple,25,100,25,720 Variant 9,Bit,30,100,30,48 Variant 9,drift,80,100,80,3 Variant 9,Mana,80,100,80,5 Variant 9,ingot,33,100,33,wild Variant 9,No Material,900,1000,90,earthy_orange Variant 9,Cuerpo amarillo,14,100,14,party_orange Variant 9,Material.005,17,100,17,hornet_brown Variant 9,Ojos sauron,40,100,40,bone Variant 9,Huesos blancos,70,100,70,none Variant 9,No Material,99,100,99
Variant 10,platinum_token Variant 10,Moneda platino,50,100,50,platinum Variant 10,Platinium Card,50,100,50,emerald Variant 10,Front Card Colorful,30,100,30,576 Variant 10,Bit,50,100,50,48 Variant 10,drift,80,100,80,9 Variant 10,Mana,5,100,5,5 Variant 10,ingot,33,100,33,wild Variant 10,No Material,900,1000,90,chocolate_brown Variant 10,Cuerpo marrón,14,100,14,magic_purple Variant 10,Material.004,17,100,17,wasp_yellow Variant 10,Ojos verde claro,25,100,25,bone Variant 10,Huesos blancos,70,100,70,none Variant 10,No Material,99,100,99
Variant 11,platinum_token Variant 11,Moneda platino,50,100,50,platinum Variant 11,Platinium Card,50,100,50,kevlar Variant 11,Front Card KEVLAR,15,100,15,720 Variant 11,Bit,30,100,30,48 Variant 11,drift,80,100,80,3 Variant 11,Mana,80,100,80,5 Variant 11,ingot,33,100,33,wild Variant 11,No Material,900,1000,90,chocolate_brown Variant 11,Cuerpo marrón,14,100,14,lemon_green Variant 11,Alas verdes,10,100,10,hornet_brown Variant 11,Ojos sauron,40,100,40,bone Variant 11,Huesos blancos,70,100,70,none Variant 11,No Material,99,100,99
