,gadget ,card_material,card_shield,card_bit,card_drift,card_mana,card_ingot,dragon_style,dragon_body,dragon_wings,dragon_eyes,dragon_all_horns,dragon_name,music
1,platinum_token,gold,emerald,576,48,3,4,wild,chocolate_brown,ocean_blue,hornet_brown,bone,Ione,none
2,platinum_token,titanium,prism,576,60,3,5,wild,tangle_dark,sunny_yellow,wasp_yellow,bone,Hekate,none
3,gold_token,platinum,sapphire,576,48,3,4,wild,earthy_orange,grosbeak_green,hornet_brown,golden,Patroclus,none
4,titanium_token,platinum,emerald,864,48,3,4,wild,peaceful_green,ocean_blue,firefly_lilac,bone,Andromeda,none
5,gold_token,titanium,prism,576,48,3,4,wild,exotic_turquoise,magic_purple,hornet_brown,golden,Iason,none
6,gold_token,gold,amethyst,576,48,3,5,wild,chocolate_brown,floyd_pink,shimmer_turquoise,bone,Bláthnaid,none
7,platinum_token,gold,emerald,720,60,3,5,wild,tangle_dark,magic_purple,hornet_brown,bone,Bile,none
8,platinum_token,gold,emerald,576,60,3,4,wild,firing_red,ocean_blue,hornet_brown,bone,Ailbhe,none
9,platinum_token,platinum,emerald,576,48,9,5,wild,peaceful_green,ocean_blue,hornet_brown,bone,Lóegaire,none
10,platinum_token,titanium,emerald,576,48,3,4,pirate,peaceful_green,lemon_green,hornet_brown,golden,Guendoleu,none
11,gold_token,gold,sapphire,576,72,3,4,wild,tangle_dark,lemon_green,wasp_yellow,bone,Clídna,none
12,platinum_token,gold,sapphire,576,48,3,5,wild,chocolate_brown,magic_purple,assembly_purple,golden,Gwenddydd,none
13,platinum_token,gold,sapphire,576,48,3,5,wild,peaceful_green,floyd_pink,wasp_yellow,bone,Cai,none
14,gold_token,platinum,amethyst,576,60,3,5,wild,tangle_dark,party_orange,hornet_brown,golden,Sárait,none
15,gold_token,titanium,prism,576,48,3,5,wild,chocolate_brown,floyd_pink,wasp_yellow,bone,Fiachra,none
16,platinum_token,platinum,emerald,864,48,3,4,wild,exotic_turquoise,lemon_green,wasp_yellow,golden,Scáthach,none
17,platinum_token,platinum,amethyst,864,48,6,5,wild,peaceful_green,sunny_yellow,hornet_brown,bone,Bedivere,none
18,platinum_token,titanium,emerald,576,48,3,4,wild,firing_red,party_orange,hornet_brown,golden,Eoghan,none
19,gold_token,platinum,amethyst,576,72,3,4,wild,earthy_orange,floyd_pink,shimmer_turquoise,bone,Cleena,none
20,platinum_token,platinum,emerald,576,48,3,4,wild,exotic_turquoise,lemon_green,hornet_brown,bone,Mórríghan,none
21,gold_token,titanium,kevlar,864,48,3,5,wild,earthy_orange,sunny_yellow,hornet_brown,golden,Gwenddoleu,none
