Ione,Ione,Ione,,,,,,,,,,,,,,,,,,,,,,
Hekate,Hekate,Hekate,,,,,,,,,,,,,,,,,,,,,,
Patroclus,Patroclus,Patroclus,,,,,,,,,,,,,,,,,,,,,,
Andromeda,Andromeda,Andromeda,,,,,,,,,,,,,,,,,,,,,,
Iason,Iason,Iason,,,,,,,,,,,,,,,,,,,,,,
Bláthnaid,Bláthnaid,Bláthnaid,,,,,,,,,,,,,,,,,,,,,,
Bile,Bile,Bile,,,,,,,,,,,,,,,,,,,,,,
Ailbhe,Ailbhe,Ailbhe,,,,,,,,,,,,,,,,,,,,,,
Lóegaire,Lóegaire,Lóegaire,,,,,,,,,,,,,,,,,,,,,,
Guendoleu,Guendoleu,Guendoleu,,,,,,,,,,,,,,,,,,,,,,
Clídna,Clídna,Clídna,,,,,,,,,,,,,,,,,,,,,,
Gwenddydd,Gwenddydd,Gwenddydd,,,,,,,,,,,,,,,,,,,,,,
Cai,Cai,Cai,,,,,,,,,,,,,,,,,,,,,,
Sárait,Sárait,Sárait,,,,,,,,,,,,,,,,,,,,,,
Fiachra,Fiachra,Fiachra,,,,,,,,,,,,,,,,,,,,,,
Scáthach,Scáthach,Scáthach,,,,,,,,,,,,,,,,,,,,,,
Bedivere,Bedivere,Bedivere,,,,,,,,,,,,,,,,,,,,,,
Eoghan,Eoghan,Eoghan,,,,,,,,,,,,,,,,,,,,,,
Cleena,Cleena,Cleena,,,,,,,,,,,,,,,,,,,,,,
Mórríghan,Mórríghan,Mórríghan,,,,,,,,,,,,,,,,,,,,,,
Gwenddoleu,Gwenddoleu,Gwenddoleu,,,,,,,,,,,,,,,,,,,,,,
Sweeney,Sweeney,Sweeney,,,,,,,,,,,,,,,,,,,,,,
Morrígan,Morrígan,Morrígan,,,,,,,,,,,,,,,,,,,,,,
Gwyn,Gwyn,Gwyn,,,,,,,,,,,,,,,,,,,,,,
Sárait,Gwalchmai,Gwalchmai,,,,,,,,,,,,,,,,,,,,,,
Gwalchmai,Uther,Uther,,,,,,,,,,,,,,,,,,,,,,
Cleena,Sabia,Sabia,,,,,,,,,,,,,,,,,,,,,,
Uther,Feidhelm,Feidhelm,,,,,,,,,,,,,,,,,,,,,,
Sabia,Culhwch,Culhwch,,,,,,,,,,,,,,,,,,,,,,
Feidhelm,Govannon,Govannon,,,,,,,,,,,,,,,,,,,,,,
Culhwch,Oisín,Oisín,,,,,,,,,,,,,,,,,,,,,,
Govannon,Lir,Lir,,,,,,,,,,,,,,,,,,,,,,
Oisín,NíamNuadu,NíamNuadu,,,,,,,,,,,,,,,,,,,,,,
Lir,Heber,Heber,,,,,,,,,,,,,,,,,,,,,,
NíamNuadu,Nechtan,Nechtan,,,,,,,,,,,,,,,,,,,,,,
Heber,Ériu,Ériu,,,,,,,,,,,,,,,,,,,,,,
Nechtan,Medraut,Medraut,,,,,,,,,,,,,,,,,,,,,,
Ériu,Brigit,Brigit,,,,,,,,,,,,,,,,,,,,,,
Medraut,Aodh,Aodh,,,,,,,,,,,,,,,,,,,,,,
Brigit,Nuadu,Nuadu,,,,,,,,,,,,,,,,,,,,,,
Aodh,Ségdae,Ségdae,,,,,,,,,,,,,,,,,,,,,,
Nuadu,Connla,Connla,,,,,,,,,,,,,,,,,,,,,,
Ségdae,Emer,Emer,,,,,,,,,,,,,,,,,,,,,,
Connla,Ler,Ler,,,,,,,,,,,,,,,,,,,,,,
Emer,Oissíne,Oissíne,,,,,,,,,,,,,,,,,,,,,,
Ler,Mór-Ríoghain,Mór-Ríoghain,,,,,,,,,,,,,,,,,,,,,,
Oissíne,Deimne,Deimne,,,,,,,,,,,,,,,,,,,,,,
Mór-Ríoghain,Diarmait,Diarmait,,,,,,,,,,,,,,,,,,,,,,
Deimne,Belenus,Belenus,,,,,,,,,,,,,,,,,,,,,,
Diarmait,Partholón,Partholón,,,,,,,,,,,,,,,,,,,,,,
Belenus,Tadg,Tadg,,,,,,,,,,,,,,,,,,,,,,Rivers
Partholón,Cernunnos,Cernunnos,,,,,,,,,,,,,,,,,,,,,,
Tadg,Geraint,Geraint,,,,,,,,,,,,,,,,,,,,,,
Cernunnos,Doireann,Doireann,,,,,,,,,,,,,,,,,,,,,,
Geraint,Cú Chulainn,Cú Chulainn,,,,,,,,,,,,,,,,,,,,,,
Doireann,Lleu,Lleu,,,,,,,,,,,,,,,,,,,,,,
Cú Chulainn,Bran,Bran,,,,,,,,,,,,,,,,,,,,,,
Lleu,Áine,Áine,,,,,,,,,,,,,,,,,,,,,,
Bran,Conall,Conall,,,,,,,,,,,,,,,,,,,,,,
Áine,Lugh,Lugh,,,,,,,,,,,,,,,,,,,,,,
Bedivere,Blodeuedd,Blodeuedd,,,,,,,,,,,,,,,,,,,,,,
Conall,Dylan,Dylan,,,,,,,,,,,,,,,,,,,,,,
Lugh,Cúchulainn,Cúchulainn,,,,,,,,,,,,,,,,,,,,,,
Blodeuedd,Lughaidh,Lughaidh,,,,,,,,,,,,,,,,,,,,,,
Dylan,Lú,Lú,,,,,,,,,,,,,,,,,,,,,,
Blodeuedd,Deirdre,Deirdre,,,,,,,,,,,,,,,,,,,,,,
Cúchulainn,Agrona,Agrona,,,,,,,,,,,,,,,,,,,,,,
Lughaidh,Sinann,Sinann,,,,,,,,,,,,,,,,,,,,,,
Lú,Fedelmid,Fedelmid,,,,,,,,,,,,,,,,,,,,,,
Deirdre,Lugus,Lugus,,,,,,,,,,,,,,,,,,,,,,
Lóegaire,Lugos,Lugos,,,,,,,,,,,,,,,,,,,,,,
Agrona,Manawydan,Manawydan,,,,,,,,,,,,,,,,,,,,,,
Sinann,Conn,Conn,,,,,,,,,,,,,,,,,,,,,,
Cernunnos,Doirend,Doirend,,,,,,,,,,,,,,,,,,,,,,
Sinann,Neasa,Neasa,,,,,,,,,,,,,,,,,,,,,,
Fedelmid,Goibniu,Goibniu,,,,,,,,,,,,,,,,,,,,,,
Lugus,Andraste,Andraste,,,,,,,,,,,,,,,,,,,,,,
Mór-Ríoghain,Niamh,Niamh,,,,,,,,,,,,,,,,,,,,,,
Tadg,Céibhfhionn,Céibhfhionn,,,,,,,,,,,,,,,,,,,,,,
Lugos,Gwenhwyfar,Gwenhwyfar,,,,,,,,,,,,,,,,,,,,,,
Conall,Maeve,Maeve,,,,,,,,,,,,,,,,,,,,,,
Manawydan,Noíse,Noíse,,,,,,,,,,,,,,,,,,,,,,
Conn,Svetovid,Svetovid,,,,,,,,,,,,,,,,,,,,,,
Doirend,Perkins,Perkins,,,,,,,,,,,,,,,,,,,,,,
Neasa,Barlow,Barlow,,,,,,,,,,,,,,,,,,,,,,
Eoghan,Arriola,Arriola,,,,,,,,,,,,,,,,,,,,,,
Bláthnaid,Cockburn,Cockburn,,,,,,,,,,,,,,,,,,,,,,
Sárait,Tatham,Tatham,,,,,,,,,,,,,,,,,,,,,,
Goibniu,Hayley,Hayley,,,,,,,,,,,,,,,,,,,,,,
Andraste,Towner,Towner,,,,,,,,,,,,,,,,,,,,,,
Niamh,Waldo,Waldo,,,,,,,,,,,,,,,,,,,,,,
Lú,Fierro,Fierro,,,,,,,,,,,,,,,,,,,,,,
Manawydan,Pérez,Pérez,,,,,,,,,,,,,,,,,,,,,,
Céibhfhionn,Batts,Batts,,,,,,,,,,,,,,,,,,,,,,
Bran,Iñíguez,Iñíguez,,,,,,,,,,,,,,,,,,,,,,
